,0
799,"The old man from squid games really was like: Felt BORED, idk, might meticulously stage a mastermind genocide plot… https://t.co/xqfwzmnCOr"
800,@Eve4Prez Bingo!!!💖👠🎶💚💛🧡❤️💙🤎🤎🖤🤍💘😺😸😹😻😼😼🙀😿💕💞💓❤️‍🔥❤️‍🔥🫂👤 If this were a test in Squid Games you'd win 16 bill fr fr 💓
801,@_aaantthony You would die on squid games tho
802,Squid games is not good for my anxiety lmao
803,"best roblox versions are:
https://t.co/TSsbMb1bvz

https://t.co/fEiWqmto6V

https://t.co/bx3iITjrL0"
804,"Squid game is just runningman, but with real kills. If you're an avid runningman viewers, first few games is basica… https://t.co/TNmqk4sqkV"
805,Squid games worth watching?
806,@TripWookAram Do you recommend squid games?
807,i want to start watching Squid Games already but i’m waiting to watch it with him 🥲
808,Just finished Squid Games and that hoe was mid
809,So basically I need to watch squid games now.
810,@WayneH__ Squid Games is so good 😭
811,I feel like I could win all the shit that was in squid games honestly
812,Which of the 6 games in Squid game do you think you would complete?
813,Put me in squid games with a tennis court and I'm walking away with all that money guaranteed
814,Let me finish Squid games
815,Squid Games was nuts.
816,This Squid games show has me bawling I’m only on episode 6 😭
817,there are zero squids featured in squid games if anyone was wondering
818,watching squid games n all of the sudden i start sounding like squidward walking
819,why the fuck did “squid games” trend for several days when that’s not what the show is called?? and all the games a… https://t.co/RKGn3W0r4W
820,Where do I sign up for squid games? 🤔🤔
821,"Just started watching the Squid Games, that train station slap scene is killing me 🤣🤣🤣 https://t.co/Qz8HaHrArL"
822,@kthzdoll did you watch squid games😭😭
823,oh man those squid sure did play those games
824,If you think the games in Squid Game are bad then Alice in Borderland takes the cake. it’s horrible.😩#AliceInBorderland
825,All these taekook X squid games on my tl STOP 😭😭
826,squid games is so insane that it brought back some of my sanity
827,when miss mamas from squid games had the other miss mamas against the wall 👀👀 girl stop playin 😁 we finna make my l… https://t.co/0JcecYAdld
828,"marketing for squid games is annoying, and social media pushing it massively! fuck off rammin shit down my throat man"
829,fuck you and squid games
830,Niggas ain’t even get a chance to finish Squid Games before you mfs start spoiling the shit
831,Squid games really just gets crazier and crazier as you watch it
832,i think i could pass squid games😭
833,"Yall just started to watch squid games lol your next move is to watch Alice in Borderland after. I like it better,… https://t.co/MkZDtkvMKQ"
834,Aint no hunger games or squid games in my future. I’m behind the mask or announcing the games at the capital.
835,It’s 3:57AM and I here watching Squid Games crying over the old man.
836,I might need to tap out of Squid Games early. This series is stressful af
837,i would shove my juul up my ass if i was in squid games ngl
838,"Peer pressure made me download Squid games, I guess I need more pressure to watch it 🥴🥴🥴🥴"
839,Squid games is dope
840,my dumb ass suppose to be sleep but i’m watching squid games .
841,why episode 6 of the squid games got me fucked up at 1 am 😭
842,k the only reason i’m continuing on for squid games is to see the detective crack dis case
843,Yeah squid games getting spicy
844,Squid games is in steroids.. I nearly didn't wake up for yhe grind today coz of that 👨🏾‍🦯
845,…Squid Games
846,The barometer of a good show is normally that I think it's awful or completely lose interest in it. Squid Games must be a masterpiece.
847,Whoever made squid games actually deserve a round of applause.
848,@YasinRaad1 @itselonzo @art_U_w_U right... I try not to binge watch shows but I might have to I just got spoiled sq… https://t.co/gUIeWQd1RM
849,squid games is making me sad 😔 the old man is gone die???
850,episode 6 of squid games has me sobbing n steven is just laughing taking screenshots of me on ft 🥲
851,i fucked around a liked one post about Squid Games on insta and now my explore page trying to spoil the show for me😂
852,@jinchurikween Lemme know if its good!!  I considered starting it once I finished Squid Games but ended up rewatching Soul Eater
853,im having a ball on these squid games memes https://t.co/N9E8LQRpCL
854,I hate that yall ruined squid games for me
855,You know I think the way the world is heading games like squid game will be more mainstream and people will blame t… https://t.co/vEIk4tyatx
856,@yeraldync_ @melakrish @Sconner1872 @BritishGQ @tom_usher_ I feel like I am the only one who likes squid games better
857,sunwoo main squid games 😭😭 https://t.co/UMZB3zVtkK
858,What exactly are you people getting from squid games ...like mwenna mwononese 😂😂😂😂😂🙌
859,what if not only sunwoo received this but all the boyz members got this squid game pr package ?? then creker will g… https://t.co/hoCWPWgtpO
860,"okay, let me binge watch squid games before my attention dips."
861,Nagana Squid games SA: scenes when I die because I couldn't do a cross jump ka Legusha by the neck
862,Fuck the Squid Game where the squirt games at
863,bro I ain’t expect the ending of squid games
864,I started watching squid games and this shit is scaryyyyyy😫
865,I just got result 'you would win' on quiz 'would you survive the Squid Games?'. What will you get?… https://t.co/wyVCH0m5GD
866,"hear me out, squid game casts on running man and they play all the games like in the series!!!"
867,Dale Gribble would WRECK in Squid Games https://t.co/J1pSbQBKp9
868,If u said squid games is good ur a fucking liar
869,found the girl who was announcing the games in squid game https://t.co/rlO00wYAF6
870,The American actors in Squid Games are horrible lmao
871,Doesn't this look like that scene from squid games?? https://t.co/UoGbsvrXAF
872,yep I watch squid games bc of him and it was sooo good damn https://t.co/Z9ze3OrOPD
873,"We get it, Netflix. You want us to watch Squid Games by trying to induce FOMO."
874,@Gregory__PJ Squid games?
875,@eaJPark @netflix @NetflixKR should i watch squid games 6 times then i got that suit???
876,squid game kinda like hunger games and among us
877,"dropping my theory here for my own future reference 🚨 squid game spoiler 🚨

the front man only came back after winn… https://t.co/76yzgBLWt6"
878,The climax in episode 1 in squid games is crazy! Like…..I’m in episode 7 &amp; still not over it
879,Nung araw ito lang ang squid games namin ng kaibigan kong si Tya Pusit who I fondly called mareng Myrna. She is is… https://t.co/3ujMWpNl7g
880,sooooo we all finna be mfs competing in squid games for halloween? 😂 cause I’m definitely about to be one of the shapes 😂
881,"I'm watching Squid Games for the plot.

The plot : https://t.co/qfvzvQIYeB"
882,y’all act like you won’t act like sangwoo if you were in the game squid games. I remind you that it was either you… https://t.co/4D905bQ2xy
883,i love the old man on squid games
884,This girl has been watching squid games the whole night plus this morning but all I keep hearing from her is “Oh My… https://t.co/rR7s7iwh21
885,I knew I needed to watch Squid Games but now I NEED to in case of spoilers.
886,@Zqkfn @xelfnbr Ur a simp for that squid games chick
887,It's severely privileged how some ppl see the bad poverty-stricken characters in Squid Game as the villains of the… https://t.co/pX0vyNPC7V
888,it's just me who didn't watch squid games?? my father scolded my brother watching this drama bcs it's sooo dangerou… https://t.co/xWjuJHOxzR
889,Squid games out cold
890,Squid games was wild asf lol
891,@ampexclusive amp squid games?
892,Bout to start squid games just to see that woman multiple times.
893,Squid games got me fucked up
894,squid games but it's scottish...
895,"Watched Squid Games yet? If yes..
Squid games but the prize is breakfast with J. Cole, you in?"
896,Watched the squid games and tbh it was an ok series https://t.co/3t0GKDE5Gx
897,still haven’t watched squid games
898,@egiostical you don't like squid games who cares what you think
899,"Squid games really got me googling : how much is 100,000 wons to usd 😭"
900,"This AIB vs Squid Game is so tiring. 

If you want the intense games, go for AIB. 

If you want the background of c… https://t.co/XmREakEGrJ"
901,squid game is about games and k wording people. why am i crying
902,Squid Games was🔥.
903,stop talking about squid games i am not done with it yet lalalalalalaala
904,I think that Squid Games has a deep message behind it and reveals itself in small parts. I hope ya’ll are seeing it… https://t.co/8qUWetQEJJ
905,Anyone tryna watch Squid Games w me on dc?
906,Bro 😂 I’m still stuck on how I made a PSA to watch squid games way September 17th when it came out cause we watched… https://t.co/yaSGzKYN68
907,Yea squid games raw
908,"dang, people weren’t lying bout player 67 in squid games"
909,Squid games getting good but I’m sooo sleepy 😩
910,We on the last episode of squid games and baby could not hang 😑😑
911,"TW// panic attack
That's it. I'm muting squid games on twt. LEARN TO FUCKING PUT TRIGGER WARNINGS I DON'T WANNA KEEP HAVING PANIC ATTACKS"
912,I have so much to say about squid games ending scene
913,"Why do manipulative psychopathic mf gotta always be named sang-woo😤 squid games
#SquidGames #SquidGame https://t.co/iheBELlIwD"
914,Squid games is good asf holl onnn
915,"i don’t even like old people 

but this old man in the squid games is too cute i wanna put him in my pocket"
916,Just finished squid games 🤨
917,Squid games is the craziest shit I’ve seen show ruthless af
918,I just got result 'you would win' on quiz 'would you survive the Squid Games?'. What will you get? https://t.co/jbJiVC2BD6 via @uquiz
919,Someone needs to throw a Squid Game party where the food and drink will be served after all the games and if you lose you for go house.
920,currently craving season 2 of squid games
921,"So squid games, huh?"
922,"Okay imagine squid games but united states version, and the first game is to say the national anthem 👀"
923,Just finished “Squid Games” and yea 10/10 give me a season 2 ASAP!
924,i wanna go to sleep so damn bad but Squid Games has me HOOKED 🥲
925,@MaryyJellyy Cant wait to start this one. Felt the same way when I finished Squid Games
926,"Hunger Games &gt;&gt;&gt;&gt; Squid Games

😩😩😩😩"
927,"I refuse to watch squid games ,will the society accept me?"
928,What to watch? - Squid Games: Hundreds of cash-strapped players accept a strange invitation to compete in children'… https://t.co/YNS2NzA1jr
929,All the anime watchers on my tl like Squid Games so it’s probably not for me
930,Everyone is watching squid games so I'm not gonna watch it.
931,Squid games gettn a lil better
932,Squid Games kinda raw
933,just finished squid games and holy fucking shit what a rollercoaster that was
934,me and @abbylynnr were having break downs over squid games and wtf was that ending.
935,@spockanalia SOOOO TRUEEEEE it’s canon in squid game that they have games all over the world task master is the British ones
936,squid games was crazy af
937,Am I the only one who thinks that the acting in Squid Games is bad/childish? #SquidGame and why do they scream out of nowhere all the time
938,Just finished squid games and let me just say that old ass man was too happy about playing red light green light ANYWAY
939,"I saw something called ""Squid Games"" trending, and I legit thought it was about Splatoon XD"
940,Y’all think y’all can win squid games ??
941,Why would any of you recommend squid games I’m literally sobbing rn
942,SQUID GAMES CAN GO TO HELL!
943,the games in squid game give me so much anxiety
944,i’m watching squid games and it’s so odd
945,i want mumumumuch dance practice (halloween version) with the girls in their squid games costumes so badly
946,Squid games remind me of Takeshi's Castle
947,Don't watch Ep 6 of squid games that shit is sad 😭😭
948,"Got impatient with Squid Games and read the spoilers, now I’m sad ☹️"
949,Squid games is better to watch in English or korean?
950,THATS ENOUGH TWITTER I DONT WANT SQUID GAMES SPOILERS
951,"I love how every so often we just recreate battle Royale (squid game, DR, hunger games, zero escape, etc)
Not knock… https://t.co/KNwvWrs9XA"
952,squid games had me messed up and i fell asleep at the very end smh 🤦🏽‍♀️
953,Honestly I wouldn’t be surprised if there was a real life Squid Games at the rate humanity is going
954,guess whos crying while watching squid games
955,i decided to try out squid games. i am amazed
956,"Lol the old man on squid games play wayyyyyy too much, muthafckas gettin shot off of red light/green light &amp; he smiling. 😂"
957,Wtf is squid games?
958,I’m literallllyyyy sobbbbingggg watching squid games 😭😭😭😭😭
959,@KamoUtd Start with Blood and Water then tomorrow its Squid Games. Lol I also want to watch because it's beeen getting hyped.
960,@shizukasafin nobody has ever finished episode 6 of squid games without not being okay
961,Watching Squid Games Now &amp;&amp; I See Why Yall Are So Interested In The Show https://t.co/VcaBMJvjyU
962,@UtahOutcasts death games is one of my favourite genres and I am like 1/3 of an episode into Squid game and already good.
963,squid game is the love baby of hunger games and willy wonka
964,"On episode 9 of squid games and I actually couldn’t tell you if it’s any good or not, weird series"
965,"@rkivetv Two of them were found  completing PTD challenge 😅😂
Bts X squid games 😂😂 https://t.co/ryjvx0dRRD"
966,Play a couple of Tekken matches then start Squid Games
967,now why in the world are y’all telling people to watch squid games i—
968,"@BisectHosting Either do squid games event, or Alice on wonderland role play cause I’ve never watched the movie"
969,Squid games HARD ASF
970,Episode 6 of Squid Games tho 😭💔
971,first episode of squid games and how tf do y’all watch this 😭
972,"Idk what to watch first, Squid games or Blood and water???
Peer pressure 🚮🚮"
973,This is me with squid games https://t.co/VZMHt1OUcn
974,y’all watch squid games?
975,I was talking shit about watching Squid games till I found out you could change the language to English 🤣
976,Sorry squid games was to over hyped for me I predicted literally everything that was going to happen.
977,Man fuck episode 6 of Squid games 😭😭😭😭😭
978,I could really use some of that sleepy gas they use in the squid games vans tbh
979,Is Takeshis Castle just the qualifier for Squid Games!? #SquidGames
980,Is squid games really that good?
981,squid games really show what ppl will do for money😂
982,Watching squid games and I see the hype y’all should watch Alice in borderland!
983,Had to start watching squid games so i can understand all these tweets🙄💀
984,@Cher_Cher_007 Facts! I went a Squid Games binge.
985,Squid games is a crazy ass show
986,Still not sleep but it might kinda be because of squid games
987,I watched Squid Games on Netflix brooooo!!!! Stupid litt / crazy af lol go watch it and u welcome 😌
988,just started squid game because everyone says it’s so good…. i have a question why would y’all be thirsty over the… https://t.co/BlC6Zy47aV
989,bro squid games is intense 😟
990,So I’m guessing I should start watching squid games
991,Fucks sake who's this knob in Hanoi who's watching squid games on my netflix account
992,"3 eps in, Squid Game is such a winning formula for a show. Motley crew of characters with dark past. Lil mystery ch… https://t.co/IlZLoEhVXG"
993,Squid games
994,"just started watching squid games, i have a feeling that i am not ready for this"
995,Squid games literally this 2.0 https://t.co/CI2TSTsFKS
996,"yooo. squid games is a wild ass show, what.. the.. hell"
997,"ok i have seen nothing about this when you guys are willing to say everything else so i guess i gotta do it

EPISOD… https://t.co/VKlJlVI001"
998,"no squid games spoilers!!!!!!!!!!!! 
please"
999,Finally watching Squid Games and this shit is wild. And I am pissed my dude went out like that in ep 6
1000,Shoutout to Stiizy and @CTCSquares for allowing me to watch Squid Games all in one sitting
1001,"I couldnt finish squid games cos i draw the line when someones life is now in jeopardy 

All the k*lling became too much to process abeg"
1002,Before i started watching squid games i was seeing all the tweets.. now im watching it and see none😂😂😂 come back im tryna relate lmao
1003,@himememer These mfs trying to make me watch squid game like- why?? I've already played all the Danganronpa games
1004,@StizLUFC @sanchezwatt Squid games good but Alice is better
1005,The squid games memes got me finished 😂
1006,just finished watching squid games and that was quite a show to watch 😬
1007,@spralde it was crazy when the squid game was actually the octopus games
1008,"Squid Games dah, Alice in Borderland pulak"
1009,Ngl if the squid games were real id win that shit ez
1010,This squid games shit crazy
1011,Thought y’all was over hyping squid games &amp; decided to turn it on just for the fuck of it ….. let’s just say it’s 3… https://t.co/s1J2juTeEX
1012,Squid games been fucking up my sleeping schedule lately 🤦🏾‍♂️
1013,Y’all watching Squid Games in English????? 🤢🤢
1014,ppl saying the mexican version of squid games round would be opening a maza pan without breaking it plssss
1015,how dare dan pee while we are watching squid games
1016,"don’t wanna be the one but I didn’t think Squid Games was THAT good, it was enjoyable but a bit overhyped  😬"
1017,ok squid games szn 2 plz😁
1018,Squid Games
1019,Squid games got me fucked up
1020,what do you think the hiring process is like for the squid games
1021,bro FUCK the last episode of squid games i’m pissed as shit
1022,cant wait for this week from hell to be over so i can watch squid games
1023,The only way to survive in life is by keeping that inner child alive - Squid games
1024,fuck squid games
1025,SQUID GAMES FEVER GOTTA SKIP MY TL. BS.
1026,Talking about “Squid Games” on Netflix 10/10
1027,Not me dreaming about being in the Squid Games with Nick from The Circle as my boyfriend. Cheers @netflix 🤣… https://t.co/uG79UasYBP
1028,Squid games might be the saddest show I’ve ever seen in my life
1029,"Episode 6 of Squid games reminded me of poverty and siblings sticking together…this episode broke me, no one hmu &lt;/3"
1030,who would survive squid game and why is it renjun ....?  like that man is super smart  and can get outta his way to… https://t.co/beAH4afTcF
1031,squid games got me on the edge of my seat
1032,I just saw a spoiler alert on squid games yall are b!tches fr
1033,"Apple iPhone 13 seeing strong demand, Lucid stock jumps, Netflix's 'Squid Games' gambit - Yahoo Finance
https://t.co/J1gONCQg3q"
1034,Finna roll up and watch squid games until I go to sleep
1035,Y’all the girl from squid games😳
1036,Episode 6 of Squid Games eng robile pelo😭😭
1037,@Tunescobabs Squid Games?
1038,Squid Games typa licks 🌚 https://t.co/txK6rgtZ67
1039,Squid games stole yall whole flow @FallGuysGame
1040,The old man in squid games had a brain tumor spreading dramatically &amp; he(tiebreaker) still voted to quit the game.… https://t.co/TcFKJiRGsw
1041,squid game is so good i recommend it to everyone who likes movies like maze runner or hunger games
1042,he would def win the squid games
1043,Tell me why the main cast of Squid Games is so attractive?
1044,Squid games is wild!🥺
1045,Should I watch another episode of squid games?
1046,btw fuck y’all for making me watch squid games i’m depressed
1047,Crying bc of squid games
1048,I told y’all to stop talking about squid games and here y’all are trying to ruin the show fah me 😭😭😭😭😭
1049,I guess I gotta give more foreign movies/ series a try haha well some  a lot of them are not interesting to me some… https://t.co/kwZByUqiqQ
1050,If the main guy from episode one of squid games doesn’t win it all then why the fuck did I just spend half the epis… https://t.co/3cXBXp5qgN
1051,"From what I've seen so far
Squid game = Hunger games + Saw + The Purge 

And I don't really like this genre 😀💀💀👾"
1052,Squid games ending just pissed me tf off
1053,you know how i  the squid games they had a choice to come back? what if they did that in the platform? wangerudi?😂😂😂
1054,you guys i am watching squid games again and forgot gi hun has a fat ass 😕 i thought it was sae byeok and idek why
1055,Squid game is just Takeshi’s Castle Hunger Games
1056,Yeah watching Squid Games was a mistake
1057,"It's a mix of Red Light, Green Light, Double Dare, and a gruesome Battle Royale (or The Hunger Games). https://t.co/AU7aP9EJRQ"
1058,leave it up to me to be hooked into a fantasy anime while everyone is talking about the Squid Games lmfao 😭
1059,I gotta stay off social media until I finish Squid Games because y’all are telling every fucking thing 😒💀💀 https://t.co/rfZuptySxz
1060,I’ve always said I’m not a big fan of foreign movies/ series but Squid Games on Netflix has made me change my mind… https://t.co/WkyRLYG9zs
1061,"No the takes i've been seeing about squid games are infuriatingly ignorant..you can not make this sht up
Successful… https://t.co/TQEDkxU6Gi"
1062,ngl if squid games was filipino id kill mfs in hep hep hooray
1063,Watching Squid Games while smoking this wood🤣 this shit crazy
1064,"This Squid Games really took the world by storm. I guess I have to watch it now, that's what my holiday shall be for tomorrow."
1065,Seeing what this squid games about
1066,so i finally finished squid games 🥲🥲 https://t.co/anYFkSEhDR
1067,if i start watching squid games rn will i be able to sleep ?
1068,Time for squid games
1069,@onc3aday Idk if you watch animes but my brother tried to convince me to watch the squid games by telling me it's l… https://t.co/XHBWEtKlmY
1070,@JatinTrader Squid games on Netflix..🙂
1071,why am I awake rn watching squid games
1072,omg the guy from squid games ain’t shit!!!!! He a fucking bum
1073,Squid game isn't real squids don't play games they sit at the ocean floor and go glugglugluggglgulg that's hardly a game
1074,squid games in korean is superior
1075,the way that squid games episode 6 just wrecked me….. fuck man.
1076,Let me put on Squid Games &amp; not go where I was just invited 😂😂😂
1077,I think we all saw the squid games em fanart of eren abt to be shot and mikasa in front but like imagine how heartb… https://t.co/HRDLTUieE1
1078,"Who else want season two of squid games? 

#SquidGame #kdrama #Netflix"
1079,"@inceIIe Squid Games, minus the death"
1080,episode 6 of squid games just broke me
1081,biden gotta find them mfs from squid games https://t.co/m8mOrcOJEi
1082,"Let me borrow ya Netflix to watch Squid Games

Ignore if you love Satan"
1083,Squid games was so good https://t.co/oM2eSYVd3F
1084,anticipating the CEO of blockberry to participate in squid games
1085,me n my (literal) sister participating in squid games https://t.co/x8pOa6DPiE
1086,@kiingtelly @SayyyJay The spoken words not matching the written words messes w me so bad cuz I’m a subtitle tv watc… https://t.co/b4EKhEh1XG
1087,Is this squid games stuff in subtitles
1088,"got bored, starting squid games https://t.co/RbPVa9J9GP"
1089,y’all hyped up squid games and left out how sad it is :(
1090,@_Scarlet_Mariz_ Squid games ?
1091,@dantdm Would u wanna join squid games if u had a chance?
1092,guys i would  win squid games no cap
1093,What if everybody that did they PPP gotta play squid games 😭😭🏃🏽‍♂️
1094,All this talk about squid games it’s better be worth it
1095,lemme find out y'all r watching squid games on dubbed
1096,The best thing you’ll watch on Netflix today is squid games. 10/10
1097,@gissellevxo lets watch squid games pls
1098,I gotta wake up in 3 hours and here I am still up watching squid games 😭😭😅
1099,not me finn cry watching squid games
1100,"Squid Games is about how they’ll use the younger minds to control us old heads, wipe us out, new generation eliminating the old, wake up"
1101,Squid games cold af
1102,i fell asleep during squid games and woke up when they started knocking all crazy
1103,Just finished squid games and all have to say is GIHUN GET YOUR ASS BACK ON THE PLANE #SquidGame https://t.co/P5Btqwba3N
1104,@ShanyeWest15 I couldn’t get in to Squid Games 😩 watching Midnight Mass right now
1105,i finished episode 1 of squid games and i think i could beat the first episode
1106,Not gonna watch Squid Games yet because theres a season two.
1107,all the squid games jokes have me weak
1108,I'd smash thru Squid Games
1109,Squid games but the prize is dinner wit Jay Z
1110,Not me crying for the old man from Squid Games just to see who he was on the last episode 🥲😂😂
1111,Episode 6 of squid games got me all the way fucked up omg😔😔💔
1112,I don’t watch tv. Facts. I will watch Squid Games because I dig what I’ve been hearing. Squids are also my second f… https://t.co/M0r15HrTHu
1113,Yooo wtf is squid games?
1114,@WuaviousJr I was watching squid games
1115,Squid games wasss crazzyyy but good asf
1116,omg i can’t believe i have free time 😭 imma watch squid games already 🏃🏻‍♀️
1117,i’m finna watch squid games again 😭
1118,"pictured left: jung hoyeon from squid games
pictured right: (obviously) jung hoseok of bts"
1119,watching ep 6 of squid games &amp; lowkey feel like imma cry lmao
1120,So this squid series is like Hunger Games but for choncholis
1121,"Best shows I've watched this year so far.
 
The Boys 
Squid Games 
Falcon and the winter soldier 
WandaVision 
Loki… https://t.co/lECcZOnAdE"
1122,"All these people recreating the games on Squid Game are missing the point of the series, no?"
1123,"Squid Games is dope.. B U T “Battle Royale”
(2000 film by kinji fukasaku) is essentially the same 🥶"
1124,"Squid games starts off with a bang 
Was expecting eliminations to be you get sent home lmao"
1125,I’m tryna finish squid games 🙄
1126,@keyon a lot of tiktoks are recommending it after you watch squid games
1127,It's 3am I have to work tomorrow but I just finished episode 4 of Squid Games and I'm seriously debating staying up… https://t.co/MiFJibgJJa
1128,let’s see what this squid games is about.
1129,@dantdm Roblox's flooded with ripoff squid games xd
1130,Squid Games is techhhh.
1131,Okay…. Squid Games = emotional turmoil
1132,There HAS to be a season 2 of squid games it can't end there
1133,sangwoo meilleur perso de squid games
1134,I really can’t get over the fact squid games really messed me up
1135,Just finished watching Squid Games 🙃🙃🙃 https://t.co/Ja65FtBvpm
1136,"Omg the babe that was the last girl standing in squid games debuted her acting with the show ?? She’s so fucking talented , wow !"
1137,@9O745 lmao squid games?
1138,Finally home im bout to roll up &amp; give the squid games another try
1139,@_iampoje Just saw Alice in borderland. Didn’t like it. The main guy got to me so bad. About to see Sweet home. Up… https://t.co/Wplck4yNid
1140,"Black people will add an “S” to everything lmaooooo the show is called Squid GAME, not Squid “Games” 😂😂😂😂"
1141,Bruhh we needa start squid games ASAP
1142,Squid games with the stream was live
1143,Level 16 &gt;&gt;&gt;&gt;&gt; squid games lmao
1144,Squid games is so fire. I’d wash everyone if I was playing but that’s just me
1145,Squid games is a trippin ass show wtf lmao
1146,@overoctoberph Squid games na ba to? HAHA
1147,"@shellyofflimits Wow someone who hasn’t watched it thanks 😂😂

It’s a Korean drama where a bunch of ppl play a child… https://t.co/GMXhySSACE"
1148,SAn scriptwriters would’ve found a way to write a slay queen storyline into squid games.
1149,not me finishing squid games in a day 💀💀💀
1150,Squid Games got me 🤯
1151,SQUID GAMES IS FUCKED UP WATCH IT IMMEDIATELY
1152,With BFF watching squid games
1153,@MEDUSA_GRIM Squid games dekha?
1154,Liked on YouTube: Hidden Squid Games Easter Eggs (Spoilers) https://t.co/D7xMaFtaMz
1155,@violxiv MINECRAFT SQUID GAMES OH HELL YEAHHB
1156,"Seeing as I was able to get through squid games which wasn’t an English show, maybe I might finally be able to watch Money Heist 😬"
1157,Anybody else watch Squid Games in Korean or was that just me ?
1158,i don’t have that meeting until late in the afternoon today. i’m about to complete this lab and then binge watch squid games all night
1159,I would do the squid games for a taste of Sza
1160,Squid Games…
1161,Just watched the marble episode of squid games I was not emotionally ready 💯🥲
1162,I really got my mom started on Squid Games and had her stop after episode 6 😂
1163,0/10 on the ending of Squid Games man wtf !!
1164,Squid Games is subliminal to how the government control the ppl 👁
1165,finished squid games finally.
1166,Squid Games is insanely good. Also im fucked waking up tomorrow
1167,I really need to watch this squid games on Netflix everyone talking about 🧐 I feel so clueless to all the memes 🤣
1168,i posted that i was gonna start squid games on my snap story and 4 ppl have slid up to talk abt it. literally everyone is watching it omg
1169,@marabaybay Squid games
1170,To binge or not to binge Squid games?.....
1171,Shanda Really Got Me Watchin Squid Games This Late At Night. I Was Sleepy At First 😂😂
1172,Squid Game pressure I feel like I’m playing the games😂
1173,Episode 5 squid games 😭🤯
1174,Would you join the squid games for 100 Billion ?
1175,"@chambordlemonad @pizzastalker @_dantrbl I like the actual games in Squid Games more than others but that’s it, eve… https://t.co/hFtHdTkDMr"
1176,So squid games like a spin on saw🤔
1177,Am I the only one who does not watch squid games 😐
1178,Squid games got me bawling like I’ve never cried before
1179,I will never rewatch Squid Games that shit traumatized me 😭😭😭😭
1180,finished the first episode of squid games what the fuck
1181,saw a tiktok about if squid game was australian one of the games would be DOWNBALL… you’re all over I’d win
1182,"Pagkagising ko ang narealize ko, there's no absolute equality sa squid games. Like they killed the doctor for cheat… https://t.co/kOquLWjFcQ"
1183,"Squid 🐙games 🔥🔥🔥
@NetflixSA"
1184,Ok but squid games had me balling my eyes out
1185,Squid games got me hooked rn 🤓
1186,sunwoo joining squid games to restock the fridge
1187,PlayStation did a major rebrand with this squid games
1188,Who told me to start squid games at 12am? Now it’s 3am let me go to sleep 😂😭
1189,squid games makes me cry i wanna rewatch
1190,"“babe would you be mad if I started simping for 067 from Squid Games”
haha grrrr ka cute 🤣"
1191,@soompi petition for the squid games cast to guest on running man!!
1192,i understand squid games is a good show but I've been getting spoiled so much it basically killed it for me
1193,Someone said what if everyone who did the ppp gotta play squid games 😂😭😂😂
1194,Squid Games stupid. I would’ve won that red light green light shit tho.
1195,Squid games 🤯
1196,@karriekardash The fuck is squid games
1197,@otakoyakisoba Thanks for the recommendation! I just finished Squid Games and been watching nonsense trying to find… https://t.co/K6gXCHD4xp
1198,is there a way i can skip ep 6 of squid games bc wtfffff
1199,nah the preview for squid games wocky af
1200,This bitch devine asked the Asian lady in the market if Squid games is real
1201,Episode 6 of Squid games seriously broke my heart..and is the reason I don't trust people and hate humanity 😫
1202,@JAYENNO @howie_thethird Imagine if squid games was how you paid student loans 💀
1203,"Squid games is overhyped , prolly cuz no one makes good shit anymore 😒"
1204,Finally started squid games
1205,Squid games on Netflix hit different 🙌🏾🙌🏾🙌🏾💯🔥
1206,@harrywithdreams Lol truth!! Only games i felt thrill in squid game was first game and that 5th game with glasses.… https://t.co/KZuM9JsEDf
1207,got thru ep 6 of squid games with gen 🙏🙏 https://t.co/C35Y7j3bGC
1208,squid games would've had to kill me cus I ain't playing them little games
1209,Squid games is good no cap😂
1210,"Y’all talkin about SQUID GAMES, But Supposedly QUeen, IDk who that Girl is, Alright, Mmmmmm, im going to Eat some Squid"
1211,"@cindyho0209 @netflix Squid games wins by their financial resources, but with many bugs and the plot is not that ex… https://t.co/DNqBmF52sy"
1212,I don’t normally jump on hype trains but squid games is pretty cool. So happy to see good content coming out of different places
1213,You can't use sex to buy your way. Often times those who use sex to get some kind of advantage end up getting dump… https://t.co/lDunt4cVVp
1214,Squid Games must really be like that im seeing people talk about it everywhere I guess I’ll check it out when I’m d… https://t.co/guYthXy5Gy
1215,The middle eastern Nigga the realest one on squid games…. He basically the black guy so I know they gone kill him
1216,i have so many questions about the policeman on squid game. how long was he looking for his brother? how close were… https://t.co/AXvyby9Rr8
1217,squid games &gt;&gt;&gt;
1218,"cw// squid game spoilers

yeah and how is gihun gonna stop the games himself? like he's the only remaining characte… https://t.co/WpUgT7WT3I"
1219,"Im gonna really need yall to stop ruining Squid Games for me, like damn can I finish it first ?"
1220,Squid games got me in here on my toes
1221,"Squid Game is just a fucked up version of the Hunger Games, huh? Lol"
1222,can we get a mafia game of some sort or another sports/games fest muna before we straight to squid game hahaha https://t.co/WECzRmvMNR
1223,Squid games just made me mad with that ending
1224,Squid game was wild… definitely gave me hunger games lol but much more gory.
1225,Ok then episode 4 of Squid Games. Oooo fkn K.
1226,Moral of squid games is don’t get into debt
1227,Dont ruin it but... I think the old man is going to win The Squid Games
1228,@AnatheaFourie It's like hunger games horror drama evil elites play with life vibes but called that because they ma… https://t.co/HWhQMQknJ9
1229,DONT SPOIL SQUID GAMES
